gate_code,stage,precheckable,check_method,source_line
activation_changed_during_apply,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:4837
activation_changed_during_verify,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:5106
activation_control_schema_changed,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1550
activation_current_epoch_exists,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1579
activation_direct_steady_binding_conflict,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1568
activation_migration_outcome_unknown,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1570
activation_not_steady,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1703
activation_predecessor_binding_changed,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1587
activation_predecessor_inflight_not_drained,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1608
activation_predecessor_required,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1577
activation_schema_transition_invalid,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1522
activation_successor_outcome_unknown,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1613
activation_transition_invalid,plan/apply/verify,false,downstream plan/apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1685
apply_confirmation_mismatch,apply,false,downstream apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:4712
apply_plan_invalid,apply,false,downstream apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:5199
apply_receipt_binding_mismatch,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:4634
apply_receipt_changed_during_verify,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:5121
apply_receipt_identity_invalid,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2214
apply_receipt_invalid,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2220
apply_receipt_path_invalid,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:5050
apply_receipt_resident_mismatch,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:4404
apply_receipt_schema_unsupported,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:4609
apply_receipt_unavailable,apply/verify,false,downstream apply/verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2212
artifact_cas_mismatch,plan/apply,false,downstream plan/apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1785
artifact_expected_sha_invalid,plan/apply,false,downstream plan/apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1777
bootstrap_install-offline_failed,materialize,false,offline install execution only; explicitly deferred,scripts/pnc_rca_minimal_release.py:3945
canary_db_projection_mismatch,verify,false,downstream verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2824
canary_db_readback_invalid,verify,false,downstream verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2822
canary_reference_invalid,verify,false,downstream verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2811
canary_state_path_invalid,prepare,true,direct absolute path collector,scripts/pnc_rca_minimal_release.py:3458
canary_state_unavailable,verify,true,standalone read-only canary state collector; prepare defers it,scripts/pnc_rca_minimal_release.py:3919
candidate_env_binding_invalid,plan/apply,false,downstream plan/apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1382
candidate_env_invalid,prepare,true,grouped by live_env_template_invalid collector,scripts/pnc_rca_minimal_release.py:1261
candidate_manifest_binding_invalid,plan/apply,false,downstream plan/apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1364
control_db_path_invalid,prepare,true,direct path and canonical control DB collectors,scripts/pnc_rca_minimal_release.py:3474
control_schema_capability_invalid,prepare,true,grouped by prepare_control_schema_unsupported collector,scripts/pnc_rca_minimal_release.py:1436
control_schema_capability_unavailable,prepare,true,grouped by prepare_control_schema_unsupported collector,scripts/pnc_rca_minimal_release.py:1420
control_schema_v15_write_unavailable,plan/apply,false,downstream plan/apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1459
control_schema_version_invalid,plan/apply,false,downstream plan/apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:1438
disabled_resident_loaded,all,false,downstream all gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2453
env_output_path_invalid,prepare,true,direct absolute path collector,scripts/pnc_rca_minimal_release.py:3456
execution_identity_readback_invalid,verify,false,downstream verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2874
execution_identity_readback_mismatch,verify,false,downstream verify gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:2902
gitlab_changed_during_apply,apply,false,downstream apply gate; not preflight-reachable,scripts/pnc_rca_minimal_release.py:4787
